sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
10006;BME280;5042;42.626;23.382;2020-06-10T04:09:34;93957.41;;;15.35;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:12:12;93948.47;;;15.36;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:14:51;93939.59;;;15.42;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:17:36;93942.72;;;15.39;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:20:26;93952.81;;;15.42;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:23:14;93954.06;;;15.27;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:25:57;93957.97;;;15.25;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:28:47;93956.97;;;15.26;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:31:37;93965.81;;;15.43;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:34:18;93970.50;;;15.65;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:37:00;93964.09;;;15.73;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:39:33;93966.03;;;15.89;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:42:14;93957.19;;;16.07;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:44:58;93960.59;;;16.19;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:47:45;93957.31;;;16.41;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:50:24;93955.81;;;16.45;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:53:09;93954.53;;;16.76;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T04:55:56;93950.25;;;16.75;99.48
10006;BME280;5042;42.626;23.382;2020-06-10T04:58:43;93942.88;;;16.77;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T05:01:27;93936.84;;;16.93;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T05:04:14;93949.84;;;17.12;99.96
10006;BME280;5042;42.626;23.382;2020-06-10T05:06:55;93948.66;;;17.36;100.00
10006;BME280;5042;42.626;23.382;2020-06-10T05:09:32;93952.13;;;17.37;96.59
10006;BME280;5042;42.626;23.382;2020-06-10T05:12:22;93944.41;;;17.52;99.12
10006;BME280;5042;42.626;23.382;2020-06-10T05:14:58;93949.09;;;17.67;95.48
10006;BME280;5042;42.626;23.382;2020-06-10T05:17:34;93949.09;;;17.84;92.98
10006;BME280;5042;42.626;23.382;2020-06-10T05:20:21;93953.19;;;17.92;94.87
10006;BME280;5042;42.626;23.382;2020-06-10T05:23:17;93947.91;;;17.75;92.75
10006;BME280;5042;42.626;23.382;2020-06-10T05:26:00;93955.69;;;17.65;93.30
10006;BME280;5042;42.626;23.382;2020-06-10T05:28:39;93950.31;;;17.59;92.01
10006;BME280;5042;42.626;23.382;2020-06-10T05:31:24;93911.84;;;17.18;93.71
10006;BME280;5042;42.626;23.382;2020-06-10T05:34:04;93955.81;;;17.19;94.92
10006;BME280;5042;42.626;23.382;2020-06-10T05:36:45;93948.06;;;17.01;96.18
10006;BME280;5042;42.626;23.382;2020-06-10T05:39:30;93956.09;;;17.06;95.96
