sensor_id;sensor_type;location;lat;lon;timestamp;counts_per_minute;hv_pulses;tube;counts;sample_time_ms
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:38:54;76;126;;195;152569
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:41:31;78;127;;196;149949
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:44:04;87;120;;220;150679
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:46:31;78;116;;196;150336
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:49:00;88;120;;220;149957
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:51:40;75;121;;188;149712
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:54:15;75;111;;190;150138
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:56:44;80;106;;201;150254
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T03:58:45;74;106;;185;149981
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:01:39;82;136;;207;150034
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:04:00;85;112;;213;149601
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:06:45;75;121;;188;150221
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:08:57;80;107;;200;149836
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:11:21;85;122;;212;149245
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:14:07;76;130;;191;150314
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:16:24;77;113;;195;150370
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:18:57;81;127;;202;148505
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:21:18;84;124;;213;151877
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:24:13;79;133;;199;149629
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:26:21;81;107;;203;149720
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:29:07;88;130;;221;149704
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:31:33;74;114;;186;149057
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:33:54;85;118;;215;150378
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:36:39;83;127;;209;150820
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:38:53;92;112;;233;150449
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:41:34;78;128;;196;149522
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:43:51;88;117;;221;150661
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:46:21;90;130;;227;149759
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:48:55;79;130;;197;149409
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:51:24;75;126;;189;149742
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:53:54;77;126;;193;148582
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:56:33;86;127;;215;149250
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T04:58:52;83;118;;213;153012
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:01:35;88;131;;221;150021
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:03:55;91;115;;228;149895
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:06:25;95;126;;238;149346
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:08:57;81;125;;205;150990
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:11:27;83;124;;209;149588
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:13:49;86;124;;216;150376
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:16:28;78;132;;195;148684
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:18:45;83;123;;211;151150
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:21:18;82;136;;206;149869
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:24:10;74;132;;186;150091
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:26:42;76;111;;191;149160
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:29:02;83;109;;211;151103
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:31:32;84;119;;209;148658
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:33:55;86;118;;218;150543
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:36:43;84;126;;210;149382
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:38:54;83;108;;209;150347
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:41:21;93;126;;235;150077
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:44:12;89;130;;225;150792
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:46:18;89;109;;223;150118
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:48:55;76;130;;192;150142
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:51:18;78;125;;196;149519
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:53:55;87;129;;220;150330
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:56:28;98;126;;246;150079
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T05:58:55;85;122;;215;150014
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:01:39;81;126;;205;150023
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:04:09;84;112;;210;149691
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:06:25;78;112;;197;150308
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:09:00;81;126;;204;149963
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:11:21;77;121;;194;149527
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:14:04;77;129;;194;149683
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:16:31;91;117;;229;149378
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:18:54;92;120;;234;151065
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:21:28;87;127;;219;150360
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:23:48;87;122;;217;149514
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:26:18;88;133;;223;150355
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:28:42;81;132;;204;149980
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:31:18;103;139;;252;145968
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:34:00;94;133;;243;153979
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:36:38;83;120;;208;149778
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:38:51;82;113;;203;147637
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:41:25;82;130;;209;152743
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:43:48;81;126;;202;147972
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:46:25;93;133;;238;151949
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:49:09;87;126;;218;150113
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:51:24;78;112;;197;149927
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:53:51;87;127;;216;148604
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:56:35;92;130;;227;146642
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T06:59:08;79;116;;203;154088
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T07:01:38;78;113;;197;150483
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T07:03:57;91;113;;229;150144
31122;Radiation_Si22G;32440;48.77895659;9.15962714;2020-06-10T07:06:30;79;124;;198;149343
